"State, Tribe, or Territory",LFS(FY25),LFPA(FY25)
Alabama,"$10,466,483 ","$5,633,744 "
Alaska,"$1,383,131 ","$765,450 "
Arizona,"$13,094,310 ","$8,053,671 "
Arkansas,"$8,476,635 ","$3,585,120 "
California,"$71,499,974 ","$47,284,232 "
Colorado,"$7,669,794 ","$5,482,139 "
Connecticut,"$5,651,951 ","$3,745,704 "
Delaware,"$2,292,828 ","$1,026,503 "
DC,"$1,529,511 ","$958,045 "
Florida,"$42,583,882 ","$22,439,038 "
Georgia,"$23,555,564 ","$11,620,639 "
Guam,"$305,243 ","$305,298 "
Hawaii,"$1,821,420 ","$1,216,009 "
Idaho,"$3,130,525 ","$1,766,779 "
Illinois,"$26,309,881 ","$14,714,408 "
Indiana,"$14,738,869 ","$7,126,596 "
Iowa,"$8,340,098 ","$2,988,354 "
Kansas,"$7,982,630 ","$2,643,574 "
Kentucky,"$10,213,792 ","$5,878,902 "
Louisiana,"$11,820,826 ","$6,389,464 "
Maine,"$2,782,433 ","$1,249,360 "
Maryland,"$8,501,423 ","$4,850,063 "
Massachusetts,"$12,102,251 ","$6,438,862 "
Michigan,"$17,999,006 ","$11,664,117 "
Minnesota,"$13,271,866 ","$4,732,009 "
Mississippi,"$7,483,485 ","$3,552,579 "
Missouri,"$13,291,509 ","$6,232,961 "
Montana,"$2,825,695 ","$1,111,229 "
Nebraska,"$6,323,231 ","$1,674,327 "
Nevada,"$4,074,248 ","$3,922,801 "
New Hampshire,"$1,743,607 ","$967,827 "
New Jersey,"$16,230,614 ","$9,902,456 "
New Mexico,"$5,674,132 ","$2,816,040 "
New York,"$38,975,535 ","$24,033,651 "
North Carolina,"$18,975,621 ","$11,424,325 "
North Dakota,"$2,705,709 ","$580,388 "
Northern Marianna Islands,$0 ,"$164,509 "
Ohio,"$23,380,035 ","$13,254,230 "
Oklahoma,"$10,900,211 ","$4,903,569 "
Oregon,"$6,136,671 ","$4,708,863 "
Pennsylvania,"$22,987,622 ","$13,003,131 "
Puerto Rico,"$3,493,051 ","$8,243,001 "
Rhode Island,"$1,730,304 ","$1,124,836 "
South Carolina,"$8,913,855 ","$5,681,359 "
South Dakota,"$2,460,094 ","$777,698 "
Tennessee,"$12,648,249 ","$7,698,500 "
Texas,"$72,567,353 ","$35,278,903 "
Utah,"$6,232,611 ","$2,786,436 "
Vermont,"$1,222,076 ","$498,027 "
Virgin Islands,"$144,951 ","$189,051 "
Virginia,"$13,586,801 ","$7,614,081 "
Washington,"$11,528,326 ","$8,494,890 "
West Virginia,"$3,788,059 ","$2,280,467 "
Wisconsin,"$11,417,078 ","$5,489,945 "
Wyoming,"$1,134,944 ","$531,840 "
Alabama-Coushatta Tribe of Texas,n/a,"$208,963 "
Alabama-Quassarte Tribal Town,n/a,"$175,174 "
Aleutian Pribilof Islands Association,n/a,"$38,927 "
Alutiiq Tribe of Old Harbor,n/a,"$195,516 "
