ejgrants_0
OBJECTID,Announcement Date,Award Date,Project Title,Project Description,Recipient,Funding Source,Type of Award,Funding Status,Federal Award Identification Number,Award Amount,Location,Latitude,Longitude,Zip Code,City,County,State,Assistance Listing, Program,Investment Category,Website Url,Announcement Url,Data Extract Date,x,y
1,,09-30-2024,Inflation Reduction Act - Environmental Justice Collaborative Problem-Solving,"The agreement provides funding to Northern Nevada Institute for Public Health (doing business as (DBA) the Nevada Public Health Institute), grant recipient. Specifically, the Northern Nevada Institute for Public Health aims to conduct water quality assessments for private well owners in rural areas that are not monitored, to improve education and resources related to water quality, and to develop community-driven actions plan that with strategies for continued improvement of water quality assessments in the future. 

This agreement provides full federal funding in the amount of $500,000. Refer to Terms and Conditions. 



Activities:
The Northern Nevada Institute for Public Health (grant recipient) activities to achieve include: 1) create partnership for water quality improvement in rural areas, 2) conduct water quality assessments, and 3) build a sustainable action plan for routine water quality services. The grant recipient will implement three key activities: (A) Build a steering committee to collaborate and plan for implementation of the routine water quality assessment in the area; (B) Develop the scope for the water quality assessments and secure qualified, well-trained human community health workers (CHWs) on water quality assessment and sampling. This will include knowledge on water quality standards, properly collecting the water samples from 200 residents, and transferring them to the Nevada State Public Health Laboratory, who will then test the samples. The sample analysis provided by the Nevada State Public Health Lab covers a routine domestic panel that measures the following contaminants: Alkalinity, arsenic, barium, boron, calcium, chloride, color, copper, electrical conductivity, fluoride, hardness, iron, magnesium, manganese, nitrate as N, pH, potassium, silica, sodium, sulfate, TDS, turbidity, and zinc. The Nevada State Public Health Lab will provide all materials necessary to collect and store the samples prior to analysis. The training of CHWs will be updated with the feedback of CHWs after their field work starts. The feedback from water quality activities in the field will help to make realistic human resource plan. During the CHWs field work (during the collection of water samples), they will conduct surveys (information collection surveys), approved by EPA,  on the community and rsquo;s perception and knowledge to understand the problems and barriers to providing healthy water for the rural communities. The CHWs will also aim to be an information source on water quality for the rural residents, if needed. (C) The third activity will develop a sustainable program to ensure water quality services are routinely available to rural areas. 



Outcomes:
The Northern Nevada Institute for Public Health Recipient will implement three key deliverables (activities): (A) Build a steering committee to collaborate and plan for implementation of the routine water quality assessment in the area; (B) Develop the scope for the water quality assessments, secure qualified, well-trained human community health workers (CHWs) on water quality assessment and sampling, and collect and analyze water samples from 200 residents thru analysis with the Nevada State Public Health Laboratory. The sample analysis measures the following contaminants: Alkalinity, arsenic, barium, boron, calcium, chloride, color, copper, electrical conductivity, fluoride, hardness, iron, magnesium, manganese, nitrate as N, pH, potassium, silica, sodium, sulfate, TDS, turbidity, and zinc.  (C) Develop a sustainable program to ensure water quality services are routinely available to rural areas. The expected outcomes include: 1) partnership on water quality in the rural area, 2) water quality assessments, and 3) building a sustainable plan for routine water quality services. 
The intended beneficiaries include the rural residents in the counties of Churchill, Esmeralda, Mineral, and Pershing (four counties within the Central Nevada He",NORTHERN NEVADA INSTITUTE FOR PUBLIC HEALTH,IRA,Primary,Awarded,98T88001,500000,Nevada,39.356186,-116.65525,,,,NV,66.306,Environmental Justice Collaborative Problem Solving,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-collaborative-problem-solving-cooperative-agreement-5#:~:text=The%20Environmental%20Justice%20Collaborative%20Problem-Solving,,01-31-2025,-116.65525,39.3561859990747
2,,05-17-2024,One Love Global EJ CPS 2023,"This agreement provides funding under the Inflation Reduction Act (IRA) to One Love Global. The recipient, One Love Global, and its partners will advance water equity in Detroit, Michigan, centering around the underserved Black and Brown community at the intersections of racial equity, environmental justice, and public health. The main objectives and activities include 1) improving national and local environmental and public health tools with a water equity lens, 2) supporting Black and Brown youth to develop their environmental justice knowledge and skills to leverage these tools and lead implementation of water testing and data transparency in community. Outcomes will include a pilot testing tool developed for water equity and water testing in Detroit, train youth in environmental justice and water testing, and pilot and full-scale implementation of the tool completed by youth in the community. Documentation of the analysis, recommendations, implementation, learning, and achievements with the tool will help to promote its replicability regionally and nationally to advance equitable, community-driven policy and systems transformation across a broader scale.

Activities:
The activities include partners leveraging the national Community Environmental Justice Screening Tool (CEJST), EJScreen tool, and Freshwater Future application to develop a pilot testing tool for water equity and water testing in Detroit. By the end of 2024, 10 youth (6 with Peace  and amp; Prosperity Youth Action Movement (PPM) Detroit, 4 with We the Youth of Detroit) will be trained in water testing and water inequity to then pilot test the water equity tool on the Eastside of Detroit. Implement full-scale use of the water equity tool in Detroit by the end of 2025, incorporating feedback and lessons learned from the pilot test.


Outcomes:
The anticipated deliverables include developing a tool for water equity and water testing in Detroit and training youth in environmental justice and water testing, and pilot and full-scale implementation of the tool completed by youth in the community.  The expected outcomes include the pilot project plan  and amp; curriculum completed. Curriculum  and amp; capacity building are integrated into youth summer programming. Youth will have an increased knowledge of history, racial equity, water equity, and environmental justice. Youth will have increased skills to implement tool and the tool implemented w/ 250 Detroit households. The intended beneficiaries are the Black and Brown youth in communities in Detroit. 



Subrecipient:
We the People of Detroit (WPD) (community-based organization) will provide community linkage support; collaborative research support with WPD and rsquo;s Community Research Collective (CRC); training of youth on history of water policy in Detroit; coordinating youth training and pilot testing. Freshwater Future (regional nonprofit) will provide technical assistance and training on beta-tested community-based asset application; Provide training on water testing to youth leaders. Flint Community Lab (FCL) (community-based organization) will train youth leaders on water quality and water testing.",ONE LOVE GLOBAL,IRA,Primary,Awarded,0E+00,499998,"Detroit, MI",42.383392,-83.10241,,Detroit,,MI,66.306,Environmental Justice Collaborative Problem Solving,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-collaborative-problem-solving-cooperative-agreement-5#:~:text=The%20Environmental%20Justice%20Collaborative%20Problem-Solving,,01-31-2025,-83.10241,42.3833919990606
3,,11-29-2024,Inflation Reduction Act - Environmental and Climate Justice,"This agreement provides funding under the Inflation Reduction Act (IRA) to Social and Environmental Entrepreneurs (SEE  Specifically, the project will aim to strengthen the relationships among local government agencies, labor unions, and residents from disadvantaged communities throughout Northeast, Southeast, and South-Central Los Angeles through increased advocacy, education, and representation of these communities in government processes. Specifically, the project goal is to increase resident s participation and effectiveness in government processes related to decarbonization efforts targeting multi-family housing and school facilities in listed communities of focus.

This agreement provides full federal funding in the amount of $3,000,000. Refer to Terms and Conditions. 



Activities:
The activities include conducting approximately 40,000 door-to-door canvassing sessions per year, host 75 annual community meetings with at least 25 participants per meeting, and perform 7,500 assessments with a target of 60% response rate to measure the effectiveness of information dissemination. Activities also include the training of 50 new community leaders annually, establishing two Government-Community Decarbonization Liaisons and aid in the passing of three new decarbonization policies over grant period. SEE will develop an explicit recruitment pathway for Los Angeles Unified School District (LAUSD) participants into existing Occupational Training programs, launch two training cohorts per year for the Los Angeles Department of Water and Power (LADWP) green training program and graduate 30 participants per LADWP training cycle. Selectee will work to produce two Community Insight Reports per year, leading to at least one policy adjustment per report period, facilitate two Decision-Maker Briefings per year, organize annual Issue-Specific Focus Groups, with each group resulting in at least one implementable solution for targeted decarbonization challenges. 



Outcomes:
The anticipated deliverables include two Decarbonization Insight Reports per year for decarbonizations to inform governmental entities about the specific challenges and opportunities in decarbonizing multi-family housing and schools. The reports will compile data from resident testimonials and expert analyses to paint a comprehensive picture of the current state of housing and school infrastructure, the potential for energy efficiency improvements, and the social impacts of decarbonization. Specialized  Decarbonization Briefings  for decision-makers will be held twice per year to dive into the  Decarbonization Insight Report  findings, emphasizing the economic, health, and community benefits of the initiatives. Focus groups (residents, environmental experts, construction professionals, and representatives from LAUSD) will convene annually to discuss specific barriers and opportunities in decarbonizing school structures in Northeast/Southeast/South-Central Los Angeles. These  and ldquo;Decarbonization Dialogue Sessions and rdquo; will result in actionable decarbonization strategies and a formal Collaborative Action Plan (CAP) with agreed-upon objectives and timelines that are publicly posted for transparency.

The expected outcomes include expanding the knowledge of local, state, federal and other governmental environmental public processes among communities in Northeast/Southeast/South-Central Los Angeles as well as increase their involvement in local, state, federal and other governmental environmental public processes. Broaden skilled and knowledgeable workforce in green retrofitting, developed through occupational training programs for Northeast/Southeast/South-Central Los Angeles residents in collaboration with local labor unions is another expected outcome along with strengthening relationships and trust between communities in this area and government entities on matters relating to environmental protection, with more informed actions taken by gov","SOCIAL AND ENVIRONMENTAL ENTREPRENEURS (SEE), INC.",IRA,Primary,Awarded,97T24601,3000000,"Los Angeles, CA",34.10718,-118.41133,,Los Angeles,,CA,66.616,Environmental Justice Community Change Grants,Protecting Communities,https://www.epa.gov/inflation-reduction-act/inflation-reduction-act-community-change-grants-program,,01-31-2025,-118.41133,34.1071799991236
4,,09-16-2024,Resilient Communities: The Gentilly Beehive Microgrid Community Resilience Project,"This agreement provides funding under the Inflation Reduction Act (IRA) to Groundwork New Orleans. This recipient will pilot the integration of mobile solar+ storage systems with a permanent microgrid for layered resiliency. Mobile solar trailers will be parked on site and connected to the stationary microgrid/grid. During grid outages, the site will be used as a resiliency hub for community first and second responders, supply and meal distribution, cooling station, and device (communication, medical, etc.) charging. The solar trailers will be rapidly deployable to power other community needs throughout the affected region. In between grid outages, the stationary and mobile microgrids will also serve as on-site educational and workforce development tools.

Activities:
Activities will pilot the integration of mobile solar and storage systems with a permanent microgrid for layered resiliency. Mobile solar trailers will be parked on site and connected to the stationary microgrid/grid. During grid outages, the site will be used as a resiliency hub for community first and second responders, supply and meal distribution, cooling station, and device (communication, medical, etc.) charging. The solar trailers will be rapidly deployable to power other community needs throughout the affected region. In between grid outages, the stationary and mobile microgrids will also serve as on-site educational and workforce development tools. The project partners include: The Footprint Project, Healthy Community Services and Solar Alternatives, and Educators for Quality Alternatives. 


Outcomes:
Anticipated deliverables include contributions to the protection of the most climate vulnerable communities in New Orleans, improve community resilience by engaging community members in solar resilience education, develop replicable outreach and education programs, train 15 participants in solar applications and Installations 5 per year, develop 3 replicable and scalable microgrid and mobile deployment plans, and share and communicate best practices and lessons learned. 
The expected outcomes include  improved access to clean energy in the most vulnerable communities in New Orleans. The project also aims to directly improve resilience of underserved coastal communities by engaging youth, community members, and businesses in clean energy production; reduction of fossil fuel generators as an emergency energy source; developing outreach and education programs about the impacts of clean energy for disaster resilience; and sharing and communicating best practices and lessons learned between these disparate Gulf communities.
The intended beneficiaries include residents of the New Orleans 7th Ward neighborhood an underserved coastal community. 

Subrecipient:
The Footprint Project will provide solar certification training to 5 Groundwork participants per year, 15 in total. The Footprint Project will also provide the Resilience Center with oversite  for 3 years. Healthy Community Services of New Orleans will provide community outreach for 3 years to improve community resilience by engaging community members in solar resilience education. There will be nine total community workshops and ten replicable outreach and education programs to be conducted. Groundwork Program Participants (Groundwork Training) will be trained in Solar International Certification and hand on Solar applications and installation.",GROUNDWORK NEW ORLEANS,IRA,Primary,Awarded,02F50301,499876,"New Orleans, LA",30.009293,-90.064835,70122,New Orleans,Orleans Parish,LA,66.306,Environmental Justice Collaborative Problem-Solving Cooperative Agreement Program,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-collaborative-problem-solving-cooperative-agreement-5#:~:text=The%20Environmental%20Justice%20Collaborative%20Problem-Solving,,01-31-2025,-90.064835,30.0092929991824
5,,03-28-2024,Climate Vulnerability Rapid-Assessment Tool and Training,"The agreement provides funding to the Tulalip Tribes of Washington. Specifically, the recipient will serve communities that have a high proportion of sub-standard housing yet no tools for assessing which homes have high smoke infiltration and dangerous heat. Partnership for Air Matters (PAM) will develop a Climate-Vulnerability Rapid-Assessment (CVRA) Tool. The CVRA will use existing data sets to estimate which homes have the highest likelihood of smoke infiltration and high heat. Similar to a Health Impact Assessment (HIA), or EJScreen, the CVRA is a decision-making support tool, only for indoor exposures.

Partnership for Air Matters (PAM) has assembled a team of Tribes, tribal consortia, statisticians, air quality and building scientists to develop, pilot and build a training program for the CVRA tool. The Tulalip Tribes and the Yakama Nation will pilot the CVRA tool, which is both a data tool and a framework for shared decision-making. Infiltration of smoke and heat will be measured in 10 high-risk homes to assess the accuracy and validity of the CVRA modelling. Post-pilot, Tribal consortia in housing and public health will host workshops to introduce the CVRA tool. PAM will provide permanent training through their Circuit-Rider program, and the Building Performance Center will regularly provide a 3-day, Certificate-Based training program on utilizing the CVRA and developing mitigation strategies based on the CVRA results.


Activities:
The activities include convening the Project Advisory Team; Conducting literature review; Researching existing energy and air quality assessment Tools; Generating a draft framework of the Climate-Vulnerability Rapid-Assessment (CVRA) Tool; Completing a partners and advisors review of the tool; Finalizing the CVRA Tool; Preparing the Quality Assurance Project Plan (QAPP); Preparing the resident survey instrument; Convene teams that will facilitate pilot testing of the tool; Test the tool at 10 pilot sites; Complete air quality data collection and monitoring at pilot sites; Conduct data analysis to compare predicted vs measured rates; Provide home upgrades to those participating in pilot testing; Make revisions and modifications to CVRA tool based on pilot; Develop CVRA tool training; Conduct workshops to share CVRA Tool with stakeholders; Conduct certificated-based CVRA Tool training program. 

Outcomes:
The anticipated deliverables include an approved Quality Assurance Project Plan (QAPP); the completed Climate-Vulnerability Rapid-Assessment (CVRA) Tool; 10 completed home upgrades for those participating in the pilot testing of the tool; a completed Climate-Vulnerability Rapid-Assessment (CVRA) Tool certificate-based training program. 

The expected outcomes include prioritizing interventions based on an evidence-based, data-informed tool that screens for homes where factors indicate high risk to resident health and safety; enabling the design of targeted public health and emergency response campaigns for residents of these high-risk homes; identifying homes or developments where in-home verifications or resident questionnaires are necessary for a more precise characterization of risk; driving more data-informed grant applications as well as through consumer-direct rebates and tax credits; and helping inform future construction methods, siting decisions, HVAC, and Energy Efficiency practices, and promoting adoption of preventive programs. 

The intended beneficiaries include Tribal communities and those that live in the communities with environmental justice concerns. The Climate-Vulnerability Rapid-Assessment (CVRA) Tool will enable communities to help protect the health and safety of their members. 


Subrecipient:
This assistance agreement will issue a subaward to Partnership for Air Matters (PAM  PAM will be responsible for overall project management; supervising the Project Advisor; managing and tracking progress of project partners; convening pilot site",Tulalip Tribes of Washington,IRA,Primary,Awarded,02J58101,977919,Tulalip Tribes of Washington,48.07704,-122.260956,,,Snohomish County,WA,66.312,Environmental Justice Government-to-Government,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-government-government-program,,01-31-2025,-122.260956,48.0770399990624
6,,09-04-2024,Flourishing in Community: Fordham in Community Environmental Justice Grantmaker Initiative,"This agreement provides funding under the Inflation Reduction Act to Fordham University to support nonprofit organizations and organizations representing disadvantage communities through its Thriving Communities Grantmaker Initiative titled Flourishing In Communities (FIC   Specifically, Fordham University Grantmaker proposes an intersectional approach to place frontline communities in positions of power to advance environmental justice and climate justice in disadvantaged and hard-to-reach communities and communities disproportionately impacted by climate change, pollution, and other environmental stressors in New York, New Jersey, Puerto Ric, and U.S. Virgin Islands.  Fordham University Grantmaker will foster stakeholder engagement; establish a community led participatory governance; facilitate a robust and accessible subgrant application, disbursement, monitoring and reporting process; and provide technical assistance and wrap-around support to subgrantees. This Grantmaker initiative will reduce barriers the federal grant process places on small, resource-constrained community-based nonprofits supporting the underserved communities. 

Activities:
The activities in the Initial Award Phase include: a series of meetings, workshops and webinars, both face-to-face and virtual to foster authentic stakeholder engagement and establish participatory governance, facilitate a robust and accessible subgrant application, disbursement, monitoring and reporting process.

Outcomes:
It is anticipated that this project will result in the following deliverables and expected outcomes: development of participatory governance, outreach plan, subgrant application consisting of disbursement, monitoring, and reporting process. Direct Beneficiaries of the program include resident located in New Jersey, New York, Puerto Rico and The United States Virgin Island and Indian Nations.  


Subrecipient:
Fordham University will issue subawards under this Cooperative Agreement. Subaward activities will include project coordination, intake applications, development of solicitation and outreach activities,",FORDHAM UNIVERSITY,IRA,Primary,Awarded,96265601,8000000,Virgin Islands,18.328367,-64.9145,,,,VI,66.615,Environmental Justice Thriving Communities Grantmaking,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-thriving-communities-grantmaking-program,,01-31-2025,-64.9145,18.3283669994362
7,,04-22-2024,"Empowering Environmental Justice communities to build climate resiliency through community-oriented solutions, equitable fuels reduction programs and protecting health from poor air quality","This agreement provides funding under the Inflation Reduction Act (IRA) to Methow Valley Citizens Council. The recipient will 1) Build climate change resiliency throughout Okanogan County using the Climate Action Plan framework; 2) Promote equitable pollution monitoring and fuels reduction solutions; and 3) In 2025, Methow Valley Citizens Council and partners will host an Air and Climate Conference in North Central Washington to engage the broader region and procure commitments from local governments on action items directly related to strengthening climate resiliency for vulnerable and overburdened communities. It is anticipated that this work will inform, engage, and deepen connections between overburdened and vulnerable communities across North Central Washington.


Activities:
The activities include conducting 12 quarterly forums through the 3-year performance period to advance implementation of the Climate Action Plan and share relevant education and collaboration around rural climate solutions; coordinating and supporting a volunteer  and ldquo;implementation hub and rdquo;, that provide grant support, evaluation and metrics, and networking to advance climate action projects; distributing 12 quarterly newsletters for Resilient Methow over the three-year performance period; coordinating targeted outreach and collaboration with stakeholders in implementing the Methow Valley Climate Action Plan; hiring a summer intern for Resilient Methow; conducting 12 chipping and vegetation drives over the 3-year performance period; recruiting two new Clean Air Ambassadors to the clean air ambassador network in vulnerable communities in Okanogan County currently without an air quality sensor within ~10 miles; replacing 35 aging Purple Air sensors; developing a direct mailer outreach for prescribed burning operations for locally affected communities in North Central Washington; developing  and ldquo;alternatives to burning and rdquo; handouts and other material focusing on why and how property owners can reduce air pollution and be prepared for wildfire; securing a venue for air and climate conference; inviting partners, including other organizations, agencies, and businesses; securing keynote speaker commitment for the conference; planning all logistics: audio-visual, catering, rentals, decoration; advertising the air and climate conference; coordinating outreach materials; hosting an air and climate conference.

Outcomes:
The anticipated deliverables include: 40 reliable low-cost sensors to monitor PM2.5 pollution; 13 quarterly forums focused on implementing actions in the Methow Valley Climate Action Plan (MVCAP); 18 wood chipping and vegetation drive events over three years; 1 regional air and climate conference.

The expected outcomes include an increase in the number of residents engaged in climate resiliency and air quality issues and work in the community (~1,000 residents); decreased air pollution from outdoor burning; convening of other organizations, partners, and potential new partners resulting from the air and climate conference; new air pollution monitors in previously unmonitored areas; deeper conversations about air pollutions and climate solutions occur as a result of air and climate conference.

The intended beneficiaries include local partners; community residents; underserved populations in Okanogan County; city, state, and local government; members of the community at increased risk from exposure to wildfire smoke and air pollution (e.g. elders, children, pregnant women); county public health leadership; attendees of the air and climate conference.



Subrecipient:
No subawards are included in this assistance agreement.",METHOW VALLEY CITIZENS COUNCIL,IRA,Primary,Awarded,02J56101,443189,"Twisp, WA",48.38366,-120.32355,98856,,Okanogan County,WA,66.306,Environmental Justice Collaborative Problem Solving,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-collaborative-problem-solving-cooperative-agreement-5#:~:text=The%20Environmental%20Justice%20Collaborative%20Problem-Solving,,01-31-2025,-120.32355,48.3836599990636
8,,05-06-2024,Environmental Justice Government-to-Government (EJG2G) Program,"This action approves funding in the amount of $1,000,000 to Louisville-Jefferson County Metro in support of the Ambient Air Toxics and Health Action for the Rubbertown Area.   Louisville-Jefferson County Metro plan to increase awareness of current ambient air toxics knowledge and health concerns by both community and Air Pollution Control District.

Activities:
Specifically, the recipient will  collect ambient air toxics data and identify potential health conditions/diseases that west Louisville residents may be experiencing or for which they are at higher risk based on past and current chemical exposures from ambient air pollution in certain zip codes. Ambient air monitoring will inform a Health Risk Assessment, which will be used to create a Health Impact Evaluator Tool to assist medical practitioners in determining beneficial diagnostic steps to improve early detection and treatment options. Ambient air monitoring data and Health Risk Assessment findings will be used to develop and support policy recommendations for air pollution and land use policies to reduce exposures. 
The activities include:
1. Air Pollution Control District will establish (or utilize existing) five sites to monitor ambient air volatile organic compounds (VOCs), two sites to monitor for metals in ambient air, and utilize two continuous formaldehyde analyzers for mobile monitoring. 
2. VOC sampling units and practices will adhere with EPA Method TO-15A which is the EPA standardized method for measuring volatile organic compounds in ambient air with 
additional quality assurance measures. Air sampling will occur on a 1 in 12-day schedule and be averaged over 24 hours. 
3. Sequential particulate samplers will be utilized to collect particulate matter in accordance with 40 CFR, Part 50 and metals from the particulate will be analyzed via IO[1]3.5/EQL-0512-202, which is the EPA compendium method for determining metals in ambient particulate matter. 
4. Two continuous formaldehyde analyzers will be implemented for mobile sampling.
5. The University of Louisville (UofL) will establish a community sewer monitoring program to demonstrate the feasibility of passive, population-based assessment of exposure to air toxics in the neighborhoods where APCD is gathering AATA samples.
6. Review of Relevant Literature and Foundational Local Data and Resources UofL will review the foundational reports of the West Louisville Air Toxics Study and the more 
recent data from APCD and rsquo;s auto-GC VOC monitoring, AirTox Screen, permitted sources, and EJScreen. This will be compared with the findings of the most recent Louisville Health Report.

Outcomes:
The anticipated deliverables include:
 and bull;	Ambient Air Toxics Assessment (AATA) 
 and bull;	Sewer Sampling Pilot Project Report 
 and bull;	Health Risk Assessment Phase 1 (literature review and assessment of previous ambient air toxics monitoring data) 
 and bull;	Health Risk Assessment Phase 2  (incorporates results of AATA)
 and bull;	Health Impact Evaluator Tool
 and bull;	WJCCTF website (includes  project data, community engagement activities, and policy recommendations)
 and bull;	2 WJCCTF EJ Conferences
 and bull;	12 WJCCTF Quarterly Community Meetings
 and bull;	2 APCD Clearing the Air Workshops
 and bull;	4 WJCCTF-sponsored media (i.e., radio or television) broadcasts discussing project
 and bull;	Printed materials for community explaining project and participation and documenting the project findings 
 and bull;	Trainings (number TBD based on scheduling and staffing) for PDCHC Community Health Workers and Clinicians
 and bull;	Policy recommendations for local air pollution and land use regulations
The expected outcomes include:
 and bull;	Increased awareness and understanding of current ambient air toxics knowledge and health concerns by both community and APCD
 and bull;	Increased understanding of current health risks from current and past ambient air toxics exposure and priority reduction targets for current levels
 and bull;	He",LOUISVILLE-JEFFERSON COUNTY METRO GOVERNMENT,IRA,Primary,Awarded,03D04124,1000000,"Louisville, KY",38.188293,-85.84007,40216,Louisville Jefferson County,Jefferson County,KY,66.312,Environmental Justice Government-to-Government,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-government-government-program,,01-31-2025,-85.84007,38.188292999083
9,,09-11-2024,Muscogee (Creek) Nation -2024 IRA 60105,"The agreement provides funding under the Inflation Reduction Act (IRA) to the Muscogee Creek Nation for the expansion and enhancement of their air monitoring activities.  Specifically, the recipient will establish a stationary monitoring site with NOx, SO2, and PM monitoring capabilities.



Activities:
The activities include
 and bull;	Identifying the most appropriate type of monitoring data to collect
 and bull;	Utilization of Meteorological data in conjunction with monitoring equipment
 and bull;	Identifying the training needs for staff
 and bull;	Provide written analysis based upon data collected using EPA approved QAPP
 and bull;	Provide AQ Data to EPA
 and bull;	Baseline Data
 and bull;	Interim Reports of Air Quality Data

Outcomes:
The anticipated deliverables include 
 and bull; One new multipollutant air monitoring site

The expected outcomes include 

 and bull; Increased disadvantaged communities monitored for air quality;
 and bull; Increased public awareness of ambient air quality;
 and bull; Increased access to information and tools that increase understanding and reduction of environmental and human health risks;
 and bull; Information about air quality in previously unmonitored areas;
 and bull; Increased sustainability of ambient air monitoring networks;
 and bull; Informed policy and decision making by air agencies;
 and bull; Mitigation actions from parties responsible for certain air pollution;
 and bull; Change in behavior of public based on new air quality information;
 and bull; Reduction of ambient concentrations of certain air pollutant(s);
 and bull; Reduction of human exposure to certain air pollutant(s);
 and bull; Publicly available air quality monitoring data for communities; 
 and bull; Identification of new ambient air sampling and analysis methods;
 and bull; Benefits for disadvantaged communities.

The intended beneficiaries include the residents of the Muscogee Creek Nation.


Subrecipient:
No subawards are included in this assistance agreement.",MUSCOGEE CREEK NATION,IRA,Primary,Awarded,02F67301,396500,The Muscogee Creek Nation,35.66757,-96.01826,,,Okmulgee County,OK,66.034,Fenceline Monitoring,Air Investments,https://www.epa.gov/grants/air-monitoring-and-air-quality-sensors-grants-under-inflation-reduction-act,,01-31-2025,-96.0182599999999,35.667569999106
10,,12-23-2024,Chenega Bulk Fuel Storage System &amp; Renewable Integration Project.,"This grant provides funding under the Inflation Reduction Act (IRA) to Native Village of Chenega. Specifically, the project will involve the construction of a new 30,000-gallon bulk fuel storage facility and the integration of a 160-kW solar photovoltaic array with a 250 kW/648 kWh battery energy storage system. Through the grant, there will be two solar workforce trainings, the development of a Tribal Independent Power Producer Structure, a Power Purchase Agreement with the Utility, and training for local operators on Solar/Battery Operations and Maintenance.

Activities:
The activities to be performed are the completion of project management and administration; completion of contracts; design and procurement; solar workforce training; construction, installation, checkout, and commissioning of solar and fuel storage; development of a Tribal Independent Power Producer Structure and Training.

Outcomes:
The anticipated deliverables are the completion of formalized agreements, reports, requests for proposals and contracts, designs, and manuals; Construction and the installation of fuel storage systems, a Solar Photovoltaic and Battery Energy Storage System, and Supporting Systems; and Tribal Workforce Development, Testing and Commissioning, and Tribal Independent Power Producer Structure. The expected outcomes include enhancing the energy resilience and sustainability of the Native Village of Chenega, Alaska. Through this project and grant, critical fuel storage infrastructure will be modernized, significantly reducing the potential for fuel spills, and incorporating renewable energy solutions to lessen the village and rsquo;s dependence on diesel fuel for electricity production. The intended beneficiaries are disadvantaged communities.

Subrecipient:
The Prince William Sound Economic Development District will provide project communications and outreach, recruit for training, host solar training in Cordova, and manage travel for trainees.",NATIVE VILLAGE OF CHENEGA,IRA,Primary,Awarded,02J91701,8932979,Native Village of Chenega aka Chanega,60.074615,-148.00304,,Chenega,Anchorage Municipality,AK,66.616,Environmental Justice Community Change Grants,Protecting Communities,https://www.epa.gov/inflation-reduction-act/inflation-reduction-act-community-change-grants-program,,01-31-2025,-148.00304,60.0746149991851
